5784 est en                        et @
5795 tout en                       tut @
5797 tout en                       tut @
5798 tout en                       tut @
5814 les a                         lez a
5817 blanches un                   bl@Sz 1
5819 dans un                       d@z 1
5821 on arrête                     §n a-REt
5827 peut être                     p2t EtR
5829 est une                       et yn
5831 en as                         @n a
5856 est elle                      et El
5868 est un                        et 1
5869 est il                        et il
5876 est à                         et a
5896 tout à                        tut a
5904 tout à                        tut a
5904 fait il                       fEt il
5907 bien entendu                  bj5n @-t@-dy
5910 est elle                      et El
5913 sont elles                    s§t El
5925 un autre                      1n otR
5929 des hallucinations            dez a-ly-si-na-sj§
5933 est ouverte                   et u-vERt
5934 peut être                     p2t EtR
5944 bien alors                    bj5n a-lOR
5944 on ira                        §n i-Ra
5954 en a                          @n a
5954 des oranges                   dez o-R@Z
5956 en a                          @n a
5957 en a                          @n a
5958 en a                          @n a
5970 ils aiment                    ilz Em
5972 en avait                      @n a-vE
5974 petit éléphant                p°-tit e-le-f@
5976 petit éléphant                p°-tit e-le-f@
5978 petit éléphant                p°-tit e-le-f@
5982 bien un                       bj5n 1
5982 petit éléphant                p°-tit e-le-f@
5999 dans une                      d@z yn
6003 bien elle                     bj5n El
6025 vas y                         vaz i
6032 comment elle                  ko-m@t El
6048 est arrivée                   et a-Ri-ve
6054 est arrivée                   et a-Ri-ve
6058 est à                         et a
6089 quand il                      k@t il
6090 on est                        §n e
6091 en as                         @n a
6105 quand il                      k@t il
6105 en aller                      @n a-le
6110 peut être                     p2t EtR
6120 est un                        et 1
6126 on a                          §n a
6127 quand il                      k@t il
6143 plus il                       plyz il
6146 est un                        et 1
6159 est un                        et 1
6168 peut être                     p2t EtR
6171 en a                          @n a
6171 est apparue                   et a-pa-Ry
6172 on est                        §n e
6172 est en                        et @
6177 ses affaires                  sez a-fER
6182 tout à                        tut a
6186 en avait                      @n a-vE
6193 un hélicoptère                1n e-li-kOp-tER
6193 un hélicoptère                1n e-li-kOp-tER
6194 on a                          §n a
6198 ses histoires                 sez is-twaR
6210 tout à                        tut a
6211 un amalgame                   1n a-mal-gam
6215 plus à                        plyz a
6235 on avait                      §n a-vE
6237 on était                      §n e-tE
6246 on en                         §n @
6246 en a                          @n a
6251 est apparu                    et a-pa-Ry
6254 en a                          @n a
6257 ton hélicoptère               t§n e-li-kOp-tER
6259 en avait                      @n a-vE
6284 ils étaient                   ilz e-tE
6286 des herbes                    dez ERb
6288 tout à                        tut a
6305 tout est                      tut e
6318 bien aussi                    bj5n o-si
6332 on appelle                    §n a-pEl
6335 est une                       et yn
6346 quand il                      k@t il
6351 on est                        §n e
6351 est en                        et @
6353 des étagères                  dez e-ta-ZER
6359 tout à                        tut a
6365 nous aider                    nuz e-de
