7 dis à                         dis à mamy !
15234 sont encore                    quand elles sont encore toutes chaudes
15234 chaudes au                     encore toutes chaudes au soleil
15236 et il                          et il (n' ) y a
15247 pas à                         ne sait pas à quelle
15247 comment ils                    quelle date comment ils sont
15250 dis un                         dis un peu , chou !
15251 viens un                       viens un peu me raconter ça
15264 revenons à                    revenons à nos moutons .
15268 bien alors                     eh bien alors ?
15272 ben oui                        ben oui , il est orange
15272 est orange                     , il est orange dans
15274 doit y                         il doit y avoir une pièce
15277 est orange                     il est orange , orange il
15280 ben on                         ah ben on dirait qu' il
15280 pris une                       s' est pris une baffe
15284 ben oui                        ben oui .
15285 loup arrive                    le loup arrive , poussin .
15289 restais avec                   si tu restais avec nous au
15301 ait envie                      qu' il ait envie de
