4252 auras à                       t(u) auras à fa(ire) tu vas
4266 tiens amène                   tiens amène ça !
4270 aller ust                      aller ust .
4274 tiens y                        tiens y a c(el)ui là !
4275 carrément un                  tu fais carrément un déménagement
4297 avait une                      grenouille qui avait une grande
4306 français et                   deux , français et italien
4306 et italien                     , français et italien !
4327 ouais il                       ouais il est à l' envers
4328 as un                          ben t(u) as un bateau à
4332 et on                          ranger , et on jette
4346 réussis à                    t(u) as réussis à en placer
4346 placer un                      à en placer un ?
4355 tiens un                       soleil tiens un soleil !
4357 ben oui                        ben oui mimine .
4362 casser hein                    vas les casser hein !
4364 pas à                         j' arrive pas à l' attraper
4366 ben oui                        oh ben oui mets y l(e)
4366 mets y                         ben oui mets y l(e)
4370 mets où                       tu l(e) mets où c(el)ui là
4374 enlever une                    veux l' enlever une ?
4376 viens anaïs                   viens anaïs !
4395 pris hein                      l' as pris hein !
4402 ben oui                        ben oui il est tombé il
4419 est où                        il est où ?
4423 veux arriver                   comment tu veux arriver à en
4423 arriver à                     tu veux arriver à en
4435 pas aimer                      qui va pas aimer tu
4436 tiens on                       tiens on échange .
4440 pas être                      ça va pas être agréable .
4445 vas aller                      poupée tu vas aller où
4445 aller où                      tu vas aller où comme
4446 fais un                        bisou tu fais un calîn
4446 calîn à                      fais un calîn à ton
4446 et à                          ton doudou et à moi
4450 dis au                         , tu dis au revoir
4452 dis au                         tu dis au revoir ?
4475 vas où                        tu vas où là ?
4479 en hauteur                     mettre tout en hauteur .
4489 bouger anaïs                  * * bouger anaïs .
4498 doit être                     elle doit être .
4506 mais on                        mais on l(e) voit plus sur
4509 vas anaïs                     t' en vas anaïs ?
4511 non anaïs                     non , non anaïs !
4513 met où                        l' as met où ta
4515 pas aimer                      elle va pas aimer !
4531 viens anaïs                   viens anaïs .
4547 pas avec                       tu vois pas avec la
4555 voit encore                    si on voit encore .
4567 tiens ah                       j(e) te tiens ah .
4572 ben alors                      ah oh ben alors .
4582 ben oui                        ben oui qu' est ce (que)
4600 viens allez                    allez viens allez !
4601 debout hein                    debout hein attention !
4601 hein attention                 debout hein attention !
4602 hein oups                      hein oups !
4627 veux essayer                   tu veux essayer de le mettre
4635 tiens attention                tiens attention le mur .
4644 bon il                         bon il faut que je t'
4652 mais il                        oh mais il est parti l(e)
4662 veux un                        t' en veux un d(e) micro
4670 ben où                        ben où elle est anaïs ?
4673 attends il                     coucou attends il est cassé le
4674 pas où                        j'sais pas où tu as mis
4678 tiens à                       tiens à toi !
4691 bruit hein                     a du bruit hein !
4694 plus et                        en a plus et là
4703 beaux hé                      i(ls) sont beaux hé ,
4703 p(e)tits euh                   avec les p(e)tits euh .
4711 numéros enregistrés          même des numéros enregistrés dessus
4727 fais attention                 ouh la fais attention .
4732 es oh                          t(u) y es oh j(e) te
4735 es où                         et t(u) es où elle est
4735 est où                        où elle est où anaïs
4739 ben oui                        allo ah ben oui t(u) allais
4746 viens allez                    tu viens allez .
4750 attends on                     attends on va appeler quelqu' un
4757 ben alors                      ben alors , qu' est ce
4758 cherches anaïs                (que) tu cherches anaïs ?
4770 es où                         anaïs t(u) es où ?
4775 attends anaïs                 attends anaïs .
4777 bien hein                      c' est bien hein pour jouer
4787 maman elle                     maman elle est où maman ?
4787 est où                        maman elle est où maman ?
4805 fait attention                 fait attention de pas tomber avec
4805 tomber avec                    de pas tomber avec parce
4807 non anaïs                     non anaïs .
4808 pied anaïs                    voir le pied anaïs .
4833 comment elle                   sais pas comment elle marche
4840 prenais autre                  si tu prenais autre chose minou
4850 non on                         non , non on range .
4863 ben oui                        oh ben oui .
4866 arrives à                     t(u) arrives à monter là haut
4869 comment i(l)                   même plus comment i(l) marche
4878 allez appuie                   allez appuie !
4883 faut appuyer                   faut appuyer la là ici *
4891 chercher un                    aille te chercher un aimant
4892 chercher un                    vais t(e) chercher un aimant
4893 reviens hein                   j(e) reviens hein !
4903 plus alors                     tu dessines plus alors .
4915 ben alors                      ben alors tu fais le poisson
4916 fais ouais                     tu fais ouais comme ça c'
4930 mais il                        non mais il est cassé .
4934 pas où                        on sait pas où il est
4949 ben attend                     ah ben attend on va mettre
4949 attend on                      ah ben attend on va mettre
4952 bras élastiques               peut-être des bras élastiques mais
4958 pas anaïs                     le mange pas anaïs .
4971 ben alors                      ben alors , ben alors !
4971 ben alors                      alors , ben alors !
4972 jouer avec                     tu veux jouer avec ça ?
4973 alors attends                  alors attends si tu veux jouer
4973 jouer avec                     tu veux jouer avec le
4975 hein on                        hein on va les retirer .
4977 met à                         on les met à ta taille
4982 était à                      c' était à la crêche .
4989 prêt à                       j'suis pas prêt à lui
